intent,transcription
NAVIGATE CHECK,"Tunjuk jalan ke Airport Kota Bharu."
NAVIGATE CHECK,"Macam mana trafik di Jalan Bayam?"
NAVIGATE CHECK,"Jalan ke Wakaf Bharu sesak dok?"
NAVIGATE CHECK,"Nak gi KB Mall, jalan mana hok senyap?"
NAVIGATE CHECK,"Boleh berhenti di Petronas depan tu?"
NAVIGATE CHECK,"Tunjukkan jalan ke [Lokasi Tujuan]."
NAVIGATE CHECK,"Bagaimana kondisi lalu lintas menuju [Lokasi Tujuan]?"
NAVIGATE CHECK,"Apakah ada jalan alternatif ke [Lokasi Tujuan]?"
NAVIGATE CHECK,"Rute tercepat ke [Lokasi Tujuan] saat ini?"
NAVIGATE CHECK,"Berikan petunjuk arah ke [Lokasi Tujuan]."
NAVIGATE CHECK,"Can you show me how to get to KLCC?"
NAVIGATE CHECK,"I need to go to Sunway Pyramid."
NAVIGATE CHECK,"What's the fastest way to Bangsar?"
NAVIGATE CHECK,"Navigate to Petaling Jaya."
NAVIGATE CHECK,"Guide me to Pavilion Mall."
NAVIGATE CHECK,"Take me to Bukit Bintang."
NAVIGATE CHECK,"Which road should I use to reach Mid Valley?"
NAVIGATE CHECK,"Show directions to Serdang."
NAVIGATE CHECK,"How do I get to Shah Alam?"
NAVIGATE CHECK,"Lead me to the airport."
NAVIGATE CHECK,"How do I get to the nearest gas station?"
NAVIGATE CHECK,"What's the best route to downtown?"
NAVIGATE CHECK,"Direct me to the hotel."
NAVIGATE CHECK,"How do I get to the train station?"
NAVIGATE CHECK,"Can you guide me to the airport?"
NAVIGATE CHECK,"Find the route to the beach."
NAVIGATE CHECK,"Show me the way to the park."
NAVIGATE CHECK,"Navigate to the city center."
NAVIGATE CHECK,"Tolong tunjukkan jalan ke Lapangan Terbang Kota Bharu."
NAVIGATE CHECK,"Macam mana keadaan lalu lintas di Jalan Bayam?"
NAVIGATE CHECK,"Adakah jalan alternatif ke Wakaf Bharu?"
NAVIGATE CHECK,"Jalan mana yang paling cepat ke KB Mall?"
NAVIGATE CHECK,"Boleh tak berhenti di Petronas di depan sana?"
